ID,CrimeCode,Description,Weapon,Incidents
185656,3AF,O,FIREARM,1
185657,3AF,O,FIREARM,1
185658,4C,I,OTHER,1
185660,4E,O,HANDS,1
185662,4E,O,HANDS,1
185663,3AO,O,OTHER,1
185669,4E,I,HANDS,1
185671,4E,I,HANDS,1
185677,4E,I,HANDS,1
185678,4E,O,HANDS,1
185684,4D,I,HANDS,1
185685,4E,I,HANDS,1
185686,3JF,I,FIREARM,1
185687,4A,I,FIREARM,1
185689,4E,I,HANDS,1
185695,4B,I,KNIFE,1
185697,4C,O,OTHER,1
185698,4E,O,HANDS,1
185714,4E,O,HANDS,1
185722,4E,O,HANDS,1
185723,4E,O,HANDS,1
185725,4E,O,HANDS,1
185728,4C,O,OTHER,1
185730,4C,O,OTHER,1
185732,4E,O,HANDS,1
185733,4E,O,HANDS,1
185736,3NF,I,FIREARM,1
185737,3AK,O,KNIFE,1
185738,4E,O,HANDS,1
185739,4C,O,OTHER,1
185740,4C,O,OTHER,1
185744,4E,O,HANDS,1
185746,4E,O,HANDS,1
185747,4E,I,HANDS,1
185748,4E,O,HANDS,1
185750,4E,O,HANDS,1
185758,4E,O,HANDS,1
185759,4E,O,HANDS,1
185767,4E,I,HANDS,1
185768,4E,O,HANDS,1
185769,1O,I,OTHER,1
185772,3AO,O,OTHER,1
185775,4E,O,HANDS,1
185777,4C,O,OTHER,1
185778,4E,O,HANDS,1
185780,4E,I,HANDS,1
185783,3AF,O,FIREARM,1
185784,9S,O,FIREARM,1
185785,4E,I,HANDS,1
185787,4D,O,HANDS,1
185789,4B,O,KNIFE,1
185791,3AF,O,FIREARM,1
185792,4C,O,OTHER,1
185793,4E,I,HANDS,1
185794,1F,O,FIREARM,1
185795,4E,I,HANDS,1
185798,4E,O,HANDS,1
185805,4B,O,KNIFE,1
185806,4E,O,HANDS,1
185813,4E,I,HANDS,1
185821,4E,O,HANDS,1
185823,3AF,O,FIREARM,1
185824,3AF,O,FIREARM,1
185825,3AF,O,FIREARM,1
185827,3JF,I,FIREARM,1
185829,1F,I,FIREARM,1
185831,9S,O,FIREARM,1
185832,9S,O,FIREARM,1
185843,4E,I,HANDS,1
185844,4D,I,HANDS,1
185848,4C,O,OTHER,1
185850,4C,O,OTHER,1
185854,4A,O,FIREARM,1
185855,4A,O,FIREARM,1
185856,4C,I,OTHER,1
185857,4E,O,HANDS,1
185862,4C,I,OTHER,1
185864,4C,O,OTHER,1
185873,4E,I,HANDS,1
185881,4E,I,HANDS,1
185884,4B,I,KNIFE,1
185894,4C,I,OTHER,1
185898,4E,I,HANDS,1
185904,4E,O,HANDS,1
185910,4C,O,OTHER,1
185912,4E,O,HANDS,1
185917,1F,I,FIREARM,1
185923,4E,I,HANDS,1
185930,3GF,I,FIREARM,1
185931,3AF,O,FIREARM,1
185933,4C,O,OTHER,1
185935,4E,O,HANDS,1
185936,9S,O,FIREARM,1
185937,4E,O,HANDS,1
185938,4E,I,HANDS,1
185940,4E,I,HANDS,1
185943,4E,I,HANDS,1
185946,4E,I,HANDS,1
185950,4E,O,HANDS,1
185951,4E,O,HANDS,1
185953,3AF,O,FIREARM,1
185957,4E,I,HANDS,1
185958,4E,O,HANDS,1
185959,4E,O,HANDS,1
185961,4C,O,OTHER,1
185962,4E,O,HANDS,1
185964,3JK,I,KNIFE,1
185966,4C,I,OTHER,1
185976,4E,I,HANDS,1
185978,4E,I,HANDS,1
185983,4E,O,HANDS,1
185984,4E,I,HANDS,1
185986,4B,I,KNIFE,1
185989,4E,O,HANDS,1
185996,3JF,I,FIREARM,1
185997,4A,I,FIREARM,1
186008,4E,I,HANDS,1
186013,4B,I,KNIFE,1
186023,4E,O,HANDS,1
186026,4E,O,HANDS,1
186029,4C,O,OTHER,1
186030,4E,O,HANDS,1
186031,4E,I,HANDS,1
186040,4E,I,HANDS,1
186042,4B,I,KNIFE,1
186048,4E,O,HANDS,1
186060,3AF,O,FIREARM,1
186062,4A,O,FIREARM,1
186063,3AF,O,FIREARM,1
186064,3AF,O,FIREARM,1
186068,4E,I,HANDS,1
186070,4E,I,HANDS,1
186073,4C,O,OTHER,1
186074,4E,I,HANDS,1
186075,4E,I,HANDS,1
186078,4E,O,HANDS,1
186083,3AF,O,FIREARM,1
186084,4E,I,HANDS,1
186087,4C,I,OTHER,1
186090,4E,O,HANDS,1
186091,3GF,I,FIREARM,1
186099,4E,O,HANDS,1
186103,4B,I,KNIFE,1
186105,3CF,I,FIREARM,1
186130,3AF,O,FIREARM,1
186135,4E,I,HANDS,1
186136,4E,O,HANDS,1
186141,4D,I,HANDS,1
186142,4C,I,OTHER,1
186151,4E,I,HANDS,1
186152,4E,I,HANDS,1
186153,4E,I,HANDS,1
186157,4C,I,OTHER,1
186163,4E,O,HANDS,1
186167,4C,O,OTHER,1
186176,4D,I,HANDS,1
186182,4E,O,HANDS,1
